Column Name,Description
UserID,"Unique identifier for the user. Used in Microsoft Graph API to reference user records. Synonyms: user key, user record id."
Mail,"User's email address. Primary contact and login for Microsoft services. Synonyms: email, mail address, user email."
DisplayName,"Full name displayed for the user. Used in user profiles and communications. Synonyms: name, user name, display name."
Department,"Department the user belongs to. Helps organize users by business unit in Microsoft Graph API. Synonyms: division, team, org unit."
ManagerName,"Name of the user's manager. Used for reporting structure and approvals. Synonyms: supervisor, boss, reporting manager."
UserType,"Type of user (e.g., employee, guest). Distinguishes internal and external users in Microsoft Graph API. Synonyms: user category, role, membership type."
AccountEnabled,"Whether the account is enabled or not. Indicates if the user can access Microsoft services. Synonyms: active, enabled, account status."
IsLicensed,"Whether the user has a license assigned. Used to check service eligibility in Microsoft Graph API. Synonyms: licensed, has license, license status."
IsMFADisabled,"Whether Multi-Factor Authentication is disabled. Security setting for user authentication. Synonyms: MFA status, two-factor disabled."
LastSignInDateTime,"Last time the user signed in. Used for activity tracking and auditing. Synonyms: last login, last access, sign-in time."
LastExchangeOnlineLogin,"Last login to Exchange Online. Tracks email service usage. Synonyms: last email login, exchange login time."
LastEntraIdLogin,"Last login to Entra ID (Azure AD). Used for identity management and auditing. Synonyms: Azure AD login, Entra login time."
EmailSent,"Total emails sent. Measures user communication activity. Synonyms: sent mail count, outgoing emails."
EmailReceived,"Total emails received. Measures inbound communication. Synonyms: received mail count, incoming emails."
TenantCode,"Identifier for the tenant. Used to scope users and resources in Microsoft Graph API. Synonyms: organization id, tenant id."
MemberOf,"Groups the user is a member of. Used for permissions and access control. Synonyms: group membership, user groups."
RowVersion,"Versioning for concurrency control. Used to manage updates and prevent conflicts. Synonyms: record version, concurrency token."
EmailReceive_D180,"Emails received in the last 180 days. Used for activity and compliance reporting. Synonyms: recent received emails, 6-month email count."
EmailReceive_D30,"Emails received in the last 30 days. Synonyms: monthly received emails, 1-month email count."
EmailReceive_D7,"Emails received in the last 7 days. Synonyms: weekly received emails, 1-week email count."
EmailReceive_D90,"Emails received in the last 90 days. Synonyms: quarterly received emails, 3-month email count."
EmailSent_D180,"Emails sent in the last 180 days. Synonyms: recent sent emails, 6-month sent mail."
EmailSent_D30,"Emails sent in the last 30 days. Synonyms: monthly sent emails, 1-month sent mail."
EmailSent_D7,"Emails sent in the last 7 days. Synonyms: weekly sent emails, 1-week sent mail."
EmailSent_D90,"Emails sent in the last 90 days. Synonyms: quarterly sent emails, 3-month sent mail."
Licenses,"Licenses assigned to the user. Used for service eligibility and billing. Synonyms: user licenses, assigned licenses."
extensionattribute1,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute2,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute3,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute4,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute5,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute6,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute7,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute8,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute9,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute10,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute11,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute12,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute13,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute14,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
extensionattribute15,"Custom attribute for extended metadata. Used for organization-specific data in Microsoft Graph API. Synonyms: custom field, extension property."
CompanyName,"Name of the company the user belongs to. Used for organization context. Synonyms: organization name, business name."
Country,"Country of the user. Used for localization and compliance. Synonyms: user country, location."
Meeting_Created_Count_180,"Meetings created in the last 180 days. Tracks collaboration activity. Synonyms: recent meetings, 6-month meeting count."
Meeting_Created_Count_30,"Meetings created in the last 30 days. Synonyms: monthly meetings, 1-month meeting count."
Meeting_Created_Count_7,"Meetings created in the last 7 days. Synonyms: weekly meetings, 1-week meeting count."
Meeting_Created_Count_90,"Meetings created in the last 90 days. Synonyms: quarterly meetings, 3-month meeting count."
Meeting_Interacted_Count_180,"Meetings interacted with in the last 180 days. Tracks user engagement. Synonyms: recent meeting interactions, 6-month engagement."
Meeting_Interacted_Count_30,"Meetings interacted with in the last 30 days. Synonyms: monthly meeting interactions, 1-month engagement."
Meeting_Interacted_Count_7,"Meetings interacted with in the last 7 days. Synonyms: weekly meeting interactions, 1-week engagement."
Meeting_Interacted_Count_90,"Meetings interacted with in the last 90 days. Synonyms: quarterly meeting interactions, 3-month engagement."
Read_Count_180,"Emails read in the last 180 days. Synonyms: recent read emails, 6-month read count."
Read_Count_30,"Emails read in the last 30 days. Synonyms: monthly read emails, 1-month read count."
Read_Count_7,"Emails read in the last 7 days. Synonyms: weekly read emails, 1-week read count."
Read_Count_90,"Emails read in the last 90 days. Synonyms: quarterly read emails, 3-month read count."
LastPasswordChangeDateTime,"Last time the password was changed. Used for security and compliance. Synonyms: password change date, last password update."
PhotoUrl,"URL to the user's profile photo. Used in user profiles and communications. Synonyms: profile image, avatar."
CreateDate,"Date the user record was created. Used for auditing and lifecycle management. Synonyms: creation date, record start date."
LicenseAssignedDate,"Date the license was assigned. Used for tracking license lifecycle. Synonyms: license start date, assignment date."
AccountStatus,"Status of the account (active, inactive, disabled, unknown). Used for access control and reporting. Synonyms: account state, user status."
CountryCode,"ISO country code. Used for localization and compliance. Synonyms: country code, location code."
LastLogin_City,"City of last login. Used for location tracking and security. Synonyms: login city, access city."
LastLogin_Country,"Country of last login. Used for location tracking and security. Synonyms: login country, access country."
LastLogin_State,"State of last login. Used for location tracking and security. Synonyms: login state, access state."
IssueWarningQuotaMB,"Mailbox quota warning threshold. Used for storage management. Synonyms: warning quota, mailbox threshold."
MailBoxSizeInMB,"Current mailbox size. Used for storage management and reporting. Synonyms: mailbox size, storage used."
ProhibitSendQuotaMB,"Quota after which sending is prohibited. Used for mailbox management. Synonyms: send quota, send limit."
ProhibitSendReceiveQuotaMB,"Quota after which sending and receiving are prohibited. Used for mailbox management. Synonyms: send/receive quota, mailbox limit."
IsAdmin,"Whether the user has admin privileges. Used for access control and permissions. Synonyms: admin status, administrator."
IsSSPRCapable,"Whether the user can use self-service password reset. Used for security and user empowerment. Synonyms: SSPR enabled, password reset capability."
IsOnpremiseUser,"Whether the user is managed on-premises. Used for hybrid environments. Synonyms: on-premises status, local user."
IsSharedMailbox,"Whether the mailbox is shared. Used for collaboration and access control. Synonyms: shared mailbox, group mailbox."
MailBoxType,"Type of mailbox (user, shared). Used for mailbox management and reporting. Synonyms: mailbox type, mailbox category."
ManagerId,"ID of the user's manager. Used for reporting structure and approvals. Synonyms: manager id, supervisor id."
UserPrincipalName,"User's login name (usually email format). Used for authentication and identification. Synonyms: principal name, login name, UPN."
LicenseId,"Unique identifier for the license. Used to reference licenses in Microsoft Graph API queries. Synonyms: license key, license record id."
LicenseName,"Name of the license or product. Identifies the specific license assigned to a user or tenant. Synonyms: product name, license name."
ActualCost,"Actual monetary cost paid for this license. Tracks expenses and financials in Microsoft Graph API licensing. Synonyms: price, charge, expense."
PartnerCost,"Cost charged to or by a partner organization. Used for partner billing and reconciliation in Microsoft Graph API. Synonyms: reseller cost, external charge."
ConsumedUnits,"Number of units consumed under the license. Indicates usage and allocation in Microsoft Graph API. Synonyms: used units, allocation."
Status,"Current status of the license (e.g., active, expired, suspended). Used to filter licenses in Microsoft Graph API queries. Synonyms: state, activity, enabled."
TotalUnits,"Total units available in the license. Shows maximum allocation for a license in Microsoft Graph API. Synonyms: quota, available units."
IsTrial,"Indicates if the license is a trial version. Used to distinguish trial and paid licenses in Microsoft Graph API. Synonyms: trial status, evaluation."
IsPaid,"Indicates if the license has been paid for. Used for billing and financial tracking in Microsoft Graph API. Synonyms: payment status, paid license."
LicenceExpirationDate,"Date when the license expires. Used to manage license lifecycle and renewals in Microsoft Graph API. Synonyms: expiry date, end date."
CreateDateTime,"Timestamp when the license record was created. Useful for auditing and tracking changes in Microsoft Graph API. Synonyms: creation date, record timestamp."
IsAddOn,"Indicates if the license is an add-on to another product. Used to manage bundled or supplementary licenses in Microsoft Graph API. Synonyms: add-on status, extension."
